date,platform,campaign_name,ad_group_name,ad_name,impressions,clicks,cost,conversions,revenue,device,keyword,creative_name,landing_page,purchases,leads,memo
"2026-03-21","NAVER","구매 전환","유사 타겟","소재 01","4565","82","42640","2.1","88200","mobile","구매 전환 키워드","소재 01","https://example.com/구매-전환","1.3","0.8",""
"2026-03-21","NAVER","브랜드 검색","핵심 키워드","소재 13","4985","105","64575","3.3","166650","desktop","브랜드 검색 키워드","소재 13","https://example.com/브랜드-검색","2","1.3",""
"2026-03-21","NAVER","리드 확보","경쟁사","소재 01","5405","130","92300","4.8","283200","mobile","리드 확보 키워드","소재 01","https://example.com/리드-확보","2.9","1.9",""
"2026-03-21","NAVER","리타겟팅","관심사","소재 13","5825","157","126385","6.8","459000","desktop","리타겟팅 키워드","소재 13","https://example.com/리타겟팅","4.1","2.7",""
"2026-03-21","GOOGLE","구매 전환","핵심 키워드","소재 02","4825","87","48720","2.2","92400","mobile","구매 전환 키워드","소재 02","https://example.com/구매-전환","1.3","0.9",""
"2026-03-21","GOOGLE","브랜드 검색","경쟁사","소재 14","5245","110","72050","3.4","171700","desktop","브랜드 검색 키워드","소재 14","https://example.com/브랜드-검색","2","1.4",""
"2026-03-21","GOOGLE","리드 확보","관심사","소재 02","5665","136","102000","5","295000","mobile","리드 확보 키워드","소재 02","https://example.com/리드-확보","3","2",""
"2026-03-21","GOOGLE","리타겟팅","장바구니","소재 14","6085","164","138580","7.1","479250","desktop","리타겟팅 키워드","소재 14","https://example.com/리타겟팅","4.3","2.8",""
"2026-03-21","META","구매 전환","경쟁사","소재 03","5085","92","55200","2.3","96600","mobile","","소재 03","https://example.com/구매-전환","1.4","0.9",""
"2026-03-21","META","브랜드 검색","관심사","소재 15","5505","116","80620","3.6","181800","desktop","","소재 15","https://example.com/브랜드-검색","2.2","1.4",""
"2026-03-21","META","리드 확보","장바구니","소재 03","5925","142","112180","5.3","312700","mobile","","소재 03","https://example.com/리드-확보","3.2","2.1",""
"2026-03-21","META","리타겟팅","신규 고객","소재 15","6345","171","151335","7.4","499500","desktop","","소재 15","https://example.com/리타겟팅","4.4","3",""
"2026-03-21","KAKAO","구매 전환","관심사","소재 04","5345","96","61440","2.4","100800","mobile","","소재 04","https://example.com/구매-전환","1.4","1",""
"2026-03-21","KAKAO","브랜드 검색","장바구니","소재 16","5765","121","88935","3.8","191900","desktop","","소재 16","https://example.com/브랜드-검색","2.3","1.5",""
"2026-03-21","KAKAO","리드 확보","신규 고객","소재 04","6185","148","122840","5.5","324500","mobile","","소재 04","https://example.com/리드-확보","3.3","2.2",""
"2026-03-21","KAKAO","리타겟팅","고가치 고객","소재 16","6605","178","164650","7.7","519750","desktop","","소재 16","https://example.com/리타겟팅","4.6","3.1",""
"2026-03-22","NAVER","콘텐츠 유입","지역 타겟","소재 01","4530","82","42640","2.1","88200","mobile","콘텐츠 유입 키워드","소재 01","https://example.com/콘텐츠-유입","1.3","0.8",""
"2026-03-22","NAVER","구매 전환","유사 타겟","소재 12","4950","104","63960","3.2","161600","desktop","구매 전환 키워드","소재 12","https://example.com/구매-전환","1.9","1.3",""
"2026-03-22","NAVER","브랜드 검색","핵심 키워드","소재 23","5370","129","91590","4.8","283200","mobile","브랜드 검색 키워드","소재 23","https://example.com/브랜드-검색","2.9","1.9",""
"2026-03-22","NAVER","리드 확보","경쟁사","소재 10","5790","156","125580","6.7","452250","desktop","리드 확보 키워드","소재 10","https://example.com/리드-확보","4","2.7",""
"2026-03-22","GOOGLE","콘텐츠 유입","유사 타겟","소재 02","4790","86","48160","2.1","88200","mobile","콘텐츠 유입 키워드","소재 02","https://example.com/콘텐츠-유입","1.3","0.8",""
"2026-03-22","GOOGLE","구매 전환","핵심 키워드","소재 13","5210","109","71395","3.4","171700","desktop","구매 전환 키워드","소재 13","https://example.com/구매-전환","2","1.4",""
"2026-03-22","GOOGLE","브랜드 검색","경쟁사","소재 24","5630","135","101250","5","295000","mobile","브랜드 검색 키워드","소재 24","https://example.com/브랜드-검색","3","2",""
"2026-03-22","GOOGLE","리드 확보","관심사","소재 11","6050","163","137735","7","472500","desktop","리드 확보 키워드","소재 11","https://example.com/리드-확보","4.2","2.8",""
"2026-03-22","META","콘텐츠 유입","핵심 키워드","소재 03","5050","91","54600","2.3","96600","mobile","","소재 03","https://example.com/콘텐츠-유입","1.4","0.9",""
"2026-03-22","META","구매 전환","경쟁사","소재 14","5470","115","79925","3.6","181800","desktop","","소재 14","https://example.com/구매-전환","2.2","1.4",""
"2026-03-22","META","브랜드 검색","관심사","소재 01","5890","141","111390","5.2","306800","mobile","","소재 01","https://example.com/브랜드-검색","3.1","2.1",""
"2026-03-22","META","리드 확보","장바구니","소재 12","6310","170","150450","7.3","492750","desktop","","소재 12","https://example.com/리드-확보","4.4","2.9",""
"2026-03-22","KAKAO","콘텐츠 유입","경쟁사","소재 04","5310","96","61440","2.4","100800","mobile","","소재 04","https://example.com/콘텐츠-유입","1.4","1",""
"2026-03-22","KAKAO","구매 전환","관심사","소재 15","5730","120","88200","3.7","186850","desktop","","소재 15","https://example.com/구매-전환","2.2","1.5",""
"2026-03-22","KAKAO","브랜드 검색","장바구니","소재 02","6150","148","122840","5.5","324500","mobile","","소재 02","https://example.com/브랜드-검색","3.3","2.2",""
"2026-03-22","KAKAO","리드 확보","신규 고객","소재 13","6570","177","163725","7.6","513000","desktop","","소재 13","https://example.com/리드-확보","4.6","3",""
"2026-03-23","NAVER","프로모션","PC","소재 01","4495","81","42120","2","84000","mobile","프로모션 키워드","소재 01","https://example.com/프로모션","1.2","0.8",""
"2026-03-23","NAVER","콘텐츠 유입","지역 타겟","소재 11","4915","103","63345","3.2","161600","desktop","콘텐츠 유입 키워드","소재 11","https://example.com/콘텐츠-유입","1.9","1.3",""
